Step;Time;Temp;KinEng;PotEng;TotEng;Press;Lx;Density
64250;64250;294.1728;7014.1091;923.7454;7937.8545;426.59264;64.029003;0.72260758
64500;64500;296.99024;7081.2867;1049.0861;8130.3728;570.85479;63.95848;0.72500054
64750;64750;298.63565;7120.519;813.28083;7933.7999;315.57868;63.94616;0.72541967
65000;65000;304.67096;7264.4218;913.89946;8178.3213;212.65835;63.916911;0.726416
65250;65250;298.9236;7127.3847;863.06518;7990.4499;182.60065;63.94031;0.72561878
65500;65500;300.20427;7157.9203;909.60844;8067.5287;-259.21356;63.928168;0.72603234
65750;65750;299.68886;7145.6313;934.78408;8080.4153;212.41401;63.903691;0.72686694
66000;66000;300.23812;7158.7275;836.60816;7995.3357;164.32156;64.042618;0.72214683
66250;66250;303.78746;7243.3562;986.16031;8229.5166;513.15912;64.076846;0.7209902
66500;66500;300.87337;7173.8741;982.87968;8156.7538;477.60934;64.057531;0.72164257
66750;66750;295.12934;7036.9163;971.32513;8008.2415;233.7995;63.959597;0.72496256
67000;67000;304.66713;7264.3305;938.29462;8202.6252;57.763019;63.978241;0.72432896
67250;67250;296.84555;7077.8367;947.40201;8025.2387;80.165704;63.982489;0.72418471
67500;67500;296.67425;7073.7525;1060.1627;8133.9151;270.59275;64.017138;0.72300945
67750;67750;294.32203;7017.6673;907.28711;7924.9544;119.82711;64.072629;0.72113256
68000;68000;298.07002;7107.0325;959.10484;8066.1373;513.16924;63.781298;0.73105941
68250;68250;295.17459;7037.9953;837.13197;7875.1273;127.40985;63.912041;0.72658206
68500;68500;296.31713;7065.2374;903.0635;7968.3009;120.15557;63.976609;0.72438438
68750;68750;293.51912;6998.5229;1022.1344;8020.6573;121.8944;63.920503;0.72629355
69000;69000;300.10059;7155.4482;1060.1501;8215.5983;166.40934;64.040511;0.72221811
69250;69250;293.15931;6989.9439;1072.2167;8062.1606;447.45973;64.10826;0.71993081
69500;69500;299.9044;7150.7704;972.89058;8123.661;311.46866;64.016058;0.72304605
69750;69750;294.06878;7011.6289;906.95746;7918.5863;199.95915;63.937308;0.72572102
70000;70000;303.88364;7245.6495;846.22647;8091.8759;-20.576308;63.881094;0.72763856
70250;70250;297.68919;7097.952;924.5595;8022.5115;-283.27897;63.931439;0.72592088
70500;70500;299.02436;7129.7871;891.48385;8021.271;-55.830644;63.929959;0.72597131
70750;70750;299.41691;7139.1469;926.9268;8066.0737;260.71901;63.918846;0.72635004
71000;71000;295.11121;7036.484;942.11076;7978.5947;698.8429;63.938282;0.72568783
71250;71250;296.55885;7071.0009;991.86112;8062.862;511.38342;64.003396;0.72347526
71500;71500;296.49641;7069.5121;846.7219;7916.234;399.12942;63.951611;0.72523417
71750;71750;296.1616;7061.529;969.43099;8030.9599;225.15644;63.828473;0.72943965
72000;72000;294.96178;7032.9211;988.12374;8021.0449;-376.05726;64.046744;0.72200727
72250;72250;299.83543;7149.1259;1041.7031;8190.829;-231.32192;64.12017;0.71952973
72500;72500;297.06291;7083.0194;870.59247;7953.6118;8.5731649;63.955725;0.72509423
72750;72750;297.9435;7104.0156;967.56695;8071.5826;453.54949;63.943376;0.72551444
73000;73000;297.44737;7092.1863;902.7434;7994.9297;401.02895;63.964976;0.72477969
73250;73250;300.22035;7158.3037;1101.6202;8259.9239;299.9233;64.002361;0.72351035
73500;73500;297.59728;7095.7605;1001.7055;8097.4661;-338.04739;64.148484;0.71857739
73750;73750;300.59361;7167.2035;1018.3868;8185.5903;28.713135;64.042367;0.72215533
74000;74000;305.10454;7274.7599;1072.8767;8347.6366;375.94991;64.041661;0.7221792
74250;74250;297.60154;7095.8622;987.0213;8082.8835;288.56796;64.110876;0.71984268
74500;74500;305.10006;7274.6533;995.99173;8270.645;640.60056;64.008357;0.72330705
74750;74750;295.58904;7047.877;959.05789;8006.9349;349.50332;63.979556;0.72428429
75000;75000;299.62426;7144.091;951.7788;8095.8698;74.114606;63.892123;0.72726181
75250;75250;298.77397;7123.817;767.3487;7891.1657;-69.64316;63.919722;0.72632015
75500;75500;303.60797;7239.0765;877.05884;8116.1354;-428.64649;63.987155;0.72402629
75750;75750;294.67877;7026.1732;906.66044;7932.8336;102.9328;63.886301;0.72746065
76000;76000;298.6043;7119.7716;989.81933;8109.5909;315.79073;63.886647;0.72744883
76250;76250;299.68269;7145.4841;824.18018;7969.6643;523.86373;63.888733;0.72737757
76500;76500;301.17872;7181.1546;961.1276;8142.2822;578.79354;63.884372;0.72752656
76750;76750;298.29791;7112.4661;898.25062;8010.7168;546.15065;63.941926;0.72556378
77000;77000;297.04338;7082.5537;1016.5653;8099.119;17.24574;64.083054;0.72078067
77250;77250;296.87162;7078.4585;989.16574;8067.6242;144.27467;64.006883;0.72335702
77500;77500;296.48436;7069.2248;969.58157;8038.8063;250.62604;63.940969;0.72559635
77750;77750;299.12016;7132.0714;940.15069;8072.2221;258.32504;63.956056;0.72508298
78000;78000;290.79788;6933.6392;957.68771;7891.3269;168.82325;63.988467;0.72398176
